subject,chapter,concept,difficulty,par_time_sec,question_text,option_a,option_b,option_c,option_d,correct_option,reason,q_no,page
Physics,Waves,Waves,,60,"A siren emitting a sound of frequency 800 Hz moves away from an observer towards a cliff at a speed of 15 ms−1. Then, the frequency of sound that the observer hears in the echo reflected from the cliff is : (Take velocity of sound in air = 330 ms−1) 3",765 Hz,800 Hz,838 Hz,885 Hz,C,low-confidence: Waves,4,2
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,60,"A capacitor of 2μF is charged as shown in the diagram. When the switch S is turned to position 2, the percentage of its stored energy dissipated is:",0%,20%,75%,80%,D,figure/parse,5,3
Physics,Gravitation,Gravitation,,60,At what height from the surface of earth the gravitation potential and the value of g are −5.4 × 107J kg−2 and 6.0 ms−2 respectively? Take the radius of earth as 6400 km:,2600 km,1600 km,1400 km,2000 km,A,low-confidence: Gravitation,7,5
Physics,Thermodynamics,Thermodynamics,,60,A refrigerator works between 4oC and 30oC. It is required to remove 600 calories of heat every second in order to keep the temperature of the refrigerated space constant. The power required is: (Take 1 cal = 4.2 Joules),2.365 W,23.65 W,236.5 W 9,2365 W,C,low-confidence: Thermodynamics,11,8
Physics,Semiconductor Electronics,Semiconductor Electronics,,60,Consider the junction diode as ideal. The value of current flowing through AB is:,0 A 10,10−2 𝐴,10−1 𝐴,10−3 𝐴,B,low-confidence: Semiconductor Electronics,13,9
Physics,Current Electricity,Current Electricity,,60,The charge flowing through a resistance R varies with time t as Q = at − bt2 where a and b are positive constants. The total heat produced in R is :,a3R 6b,a3R 3b,a3R 2b,a3R b,A,low-confidence: Current Electricity,14,10
Physics,Semiconductor Electronics,Semiconductor Electronics,,60,"A npn transistor is connected in common emitter configuration in a given amplifier. A load resistance of 800 Ω is connected in the collector circuit and the voltage drop across it is 0.8 V. If the current amplification factor is 0.96 and the input resistance of the circuit is 192 Ω, the voltage gain and the power gain of the amplifier will respectively be:","4, 3.84","3.69, 3.84","4, 4","4, 3.69",A,figure/parse,17,12
Physics,System of Particles and Rotational Motion,System of Particles and Rotational Motion,,60,A uniform circular disc of radius 50 cm at rest is free to tum about an axis which is perpendicular to its plane and passes through its centre. It is subjected to a torque which produces a constant angular acceleration of 2.0 rad s−2. Its net acceleration in ms−2 at the end of 2.0 s is approximately:,8.0,7.0,6.0,3.0,A,low-confidence: System of Particles and Rotational Motion,19,13
Physics,Dual Nature of Radiation and Matter,Dual Nature of Radiation and Matter,,60,An electron of mass m and a photon have same energy E. the ratio of de-Broglie wavelengths associated with them is: SS 14,1 c ( E 2m) 1 2,( E 2m) 1 2,c(2mE)1 2,1 c (2m E ) 1 2 (c being velocity of light),A,low-confidence: Dual Nature of Radiation and Matter,20,13
Physics,Kinetic Theory,Kinetic Theory,,60,"The molecules of a given mass of a gas have r.m.s velocity of 200 ms−1 at 27oC and 1.0 × 105 Nm−2 pressure. When the temperature and pressure of the gas are respectively, 127oC and 0.05 × 105 Nm−2, the r.m.s. velocity of its molecules in ms−1 is: 17",100√2,400 √3,100√2 3,100 3,B,low-confidence: Kinetic Theory,25,16
Physics,Motion in a Plane,Motion in a Plane,,60,A particle moves so that its position vector is given by r = cos ω t x̂+ sin ωt ŷ. Where ω is a constant. Which of the following is true?,Velocity and acceleration both are perpendicular to r.,Velocity and acceleration both are parallel to r.,Velocity is perpendicular to r and acceleration is directed towards the origin.,Velocity is perpendicular to r and acceleration is directed away from the origin.,C,low-confidence: Motion in a Plane,27,18
Physics,Dual Nature of Radiation and Matter,Dual Nature of Radiation and Matter,,60,"When a metallic surface is illuminated with radiation of wavelength λ, the stopping potential is V. If the same surface is illuminated with radiation of wavelength 2λ, the stopping potential is V",,,,,,no answer key,29,19
Physics,Current Electricity,Current Electricity,,60,A potentiometer wire is 100 cm long and a constant potential difference is maintained across it. Two cells are connected in series first to support one another and then in opposite direction. The balance points are obtained at 50 cm and 10 cm from the positive end of the wire in the two cases. The ratio of emf’s is :,5 : 1,5 : 4,3 : 4,3 : 2,D,low-confidence: Current Electricity,31,20
Physics,Semiconductor Electronics,Semiconductor Electronics,,60,"To get output 1 for the following circuit, the correct choice for the input is:","A = 0, B = 1, C = 0","A = 1, B = 0, C = 0","A = 1, B = 1, C = 0","A = 1, B = 0, C = 1",D,figure/parse,34,22
Physics,Motion in a Plane,Motion in a Plane,,60,"If the magnitude of sum of two vectors is equal to the magnitude of difference of the two vectors, the angle between these vectors is:",0𝑜,90𝑜,45𝑜,180𝑜,B,low-confidence: Motion in a Plane,37,23
Physics,Motion in a Plane,Motion in a Plane,,60,"A body of mass 1 kg begins to move under the action of a time dependent force F⃗ = (2t î + 3t2 ĵ)N, where î and ĵ are unit vectors along x and y axis. What power will be developed by the force at the time t?",(2t2 + 3t3)W,(2t2 + 4t4)W,(2t3 + 3t4)W,(2t3 + 3t5)W,D,low-confidence: Motion in a Plane,39,24
Physics,Alternating Current,Alternating Current,,60,"An inductor 20 mH, a capacitor 50 μF and a resistor 40 Ω are connected in series across a source of emf V = 10 sin 340 t. The power loss in A.C. circuit is :",0.51 W,0.67 W,0.76 W,0.89 W,A,figure/parse,40,25
Physics,Electrostatic Potential and Capacitance,Electrostatic Potential and Capacitance,,60,A small signal voltage V(t) = V0 sin ωt is applied across an ideal capacitor C:,"Current I(t), legs voltage V(t) by 90o",Over a full cycle the capacitor C does not consume any energy from the voltage source,Current I(t) is in phase with voltage V(t).,Current I(t) leads voltage V(t) by 180o,B,low-confidence: Electrostatic Potential and Capacitance,43,26
Chemistry,Unclassified,Unclassified,,60,In the reaction X and Y are:,X = 1 – Butyne ; Y = 3 – Hexyne,X = 2 – Butyne ; Y = 3 – Hexyne,X = 2 – Butyne ; Y = 2 – Hexyne,X = 1 – Butyne ; Y = 2 – Hexyne,A,unclassified,47,29
Chemistry,Surface Chemistry,Surface Chemistry,,60,Which one of the following characteristics is associated with adsorption?,∆G is negative but ∆H and ∆S are positive,"∆G, ∆H and ∆S all are negative",∆G and ∆H are negative but ∆S is positive,∆G and ∆S are negative but ∆H is positive,B,low-confidence: Surface Chemistry,50,30
Chemistry,Unclassified,Unclassified,,60,Which of the following statements is false?,Mg2+ ions form a complex with ATP.,Ca2+ ions are important in blood clotting.,Ca2+ ions are not important in maintaining the regular beating of the heart.,Mg2+ ions are important in the green parts of plants.,C,unclassified,52,31
Chemistry,Equilibrium,Equilibrium,,60,"MY and NY3, two nearly insoluble salts, have the same Ksp values of 6.2 × 10−13 at room temperature. Which statement would be true in regard to MY and NY3?",The molar solubilities of MY and NY3 in water are identical.,The molar solubility of MY in water is less than that of NY3.,The salts MY and NY3 are more soluble in 0.5 M KY than in pure water.,The addition of the salt of KY to solution of MY and NY3 will have no effect on their solubilities.,B,low-confidence: Equilibrium,55,32
Chemistry,Polymers,Polymers,,60,Nutural rubber has:,All cis – configuration,All trans – configuration,Alternate cis – and trans – configuration 33,Random cis – and trans – configuration,A,low-confidence: Polymers,57,32
Chemistry,Unclassified,Unclassified,,60,Match items of column I with the items of column II and assign the correct code: Column I Column II (a) Cyanide process (i) Ultrapure Ge (b) Froth floatation process (ii) Dressing of ZnS (c) Electrolytic reduction (iii) Extraction of Al (d) Zone refining (iv) Extraction of Au (v) Purification of Ni,(a) (b) (c) (iv) (ii) (iii) (d) (i),(a) (b) (c) (ii) (iii) (i) (d) (v),(a) (b) (c) (i) (ii) (iii) (d) (iv),(a) (b) (c) (iii) (iv) (v) (d) (i),A,unclassified,58,33
Chemistry,Unclassified,Unclassified,,60,Which one of the following statements is correct when SO2 is passed through acidified K2Cr2O7 solution?,The solution turns blue.,The solution is decolourized.,SO2 is reduced.,Green Cr2(SO4)3 is formed.,D,unclassified,59,33
Chemistry,The p-Block Elements,The p-Block Elements,,60,"Which of the following reagents would distinguish cis-cyclopenta-1, 2-diol from the trans-isomer?",Acetone,Ozone,MnO2,Aluminium isopropoxide,A,low-confidence: The p-Block Elements,63,34
Chemistry,Thermodynamics,Thermodynamics,,60,The correct thermodynamic conditions for the spontaneous reaction at all temperatures is:,∆H < 0 and ∆S = 0,∆H > 0 and ∆S < 0,∆H < 0 and ∆S > 0,∆H < 0 and ∆S < 0,C,low-confidence: Thermodynamics,64,35
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,,60,Which one of the following orders is correct for the bond dissociation enthalpy of halogen molecules?,I2 > Br2 > Cl2 > F2,Cl2 > Br2 > F2 > I2,Br2 > I2 > F2 > Cl2,F2 > Cl2 > Br2 > I2,B,low-confidence: Some Basic Concepts of Chemistry,66,35
Chemistry,Chemistry in Everyday Life,Chemistry in Everyday Life,,60,Which of the following is an analgesic?,Novalgin,Penicillin,Streptomycin,Chloromycetin,A,low-confidence: Chemistry in Everyday Life,67,35
Chemistry,Some Basic Concepts of Chemistry,Some Basic Concepts of Chemistry,,60,Equal moles of hydrogen and oxygen gases are placed in a container with a pin-hole through which both can escape. What fraction of the oxygen escape in the time required for one-half of the hydrogen to escape?,1 8,1 4,3 8,1 2,A,low-confidence: Some Basic Concepts of Chemistry,68,36
Chemistry,Hydrocarbons,Hydrocarbons,,60,"Consider the nitration of benzene using mixed conc. H2SO4 and HNO3. If a large amount of KHSO4 is added to the mixture, the rate of nitration will be:",Faster,Slower,Unchanged,Doubled,B,low-confidence: Hydrocarbons,69,36
Chemistry,Unclassified,Unclassified,,60,Predict the correct order among the following:,Lone pair – lone pair > lone pair – bond pair > bond pair – bond pair,Lone pair – lone pair > bond pair – bond pair > lone pair – bond pair,Bond pair – bond pair > lone pair – bond pair > lone pair – lone pair,Lone pair – bond pair > bond pair – bond pair > lone pair – lone pair,A,unclassified,70,37
Chemistry,Unclassified,Unclassified,,60,The product obtained as a result of a reaction of nitrogen with CaC2 is:,Ca(CN)2,CaCN,CaCN3,Ca2CN Solution: (Bonus) CaC2 + N2 Calcium Nitrogen Carbide Gas → CaCN2 + C Calcium Cyanamide CaCN2 is not given in the option so it should be bonus.,,no answer key,71,37
Chemistry,Chemical Bonding and Molecular Structure,Chemical Bonding and Molecular Structure,,60,Match the compounds given in column I with the hybridization and shape given in column II and mark the correct option. 38 Column I Column II (a) XeF6 (i) Distorted octahedral (b) XeO3 (ii) Square planar (c) XeOF4 (iii) Pyramidal (d) XeF4 (iv) Square pyramidal,(a) (b) (c) (i) (iii) (iv) (d) (ii),(a) (b) (c) (i) (ii) (iv) (d) (iii),(a) (b) (c) (iv) (iii) (i) (d) (ii),(a) (b) (c) (iv) (i) (ii) (d) (iii),A,low-confidence: Chemical Bonding and Molecular Structure,73,37
Chemistry,Unclassified,Unclassified,,60,Which is the correct statement for the given acids?,Phosphinic acid is a diprotic acid while phosphonic acid is a monoprotic acid.,Phosphinic acid is a monoprotic acid while phosphonic acid is a diprotic acid.,Both are triprotic acids,Both are diprotic acids,B,unclassified,78,39
Chemistry,Surface Chemistry,Surface Chemistry,,60,Fog is a colloidal solution of:,Liquid in gas,Gas in liquid,Solid in gas 40,Gas in gas,A,low-confidence: Surface Chemistry,79,39
Chemistry,Equilibrium,Equilibrium,,60,"Which of the following statements about the composition of the vapour over an ideal 1 : 1 molar mixture of benzene and toluene is correct? Assume that the temperature is constant at 25𝑜𝐶. (Given vapour pressure data at 25𝑜𝐶, benzene = 12.8 kPa, toluene = 3.85 kPa)",The vapour will contain a higher percentage of benzene.,The vapour will contain a higher percentage of toluene.,The vapour will contain equal amounts of benzene and toluene.,Not enough information is given to make a prediction.,A,low-confidence: Equilibrium,80,31
Chemistry,Unclassified,Unclassified,,60,"The correct statement regarding the comparison of staggered and eclipsed conformations of ethane, is:","The staggered conformation of ethane is less stable than eclipsed conformation, because staggered conformation has torsional strain.","The eclipsed conformation of ethane is more stable than staggered conformation, because eclipsed conformation has no torsional strain.",The eclipsed conformation of ethane is more stable than staggered conformation even though the eclipsed conformation has torsional strain.,"The staggered conformation of ethane is more stable than eclipsed conformation, because staggered conformation has no torsional strain.",D,unclassified,81,40
Chemistry,Alcohols Phenols and Ethers,Alcohols Phenols and Ethers,,60,The reaction Can be classified as:,Williamson ether synthesis reaction,Alcohol formation reaction,Dehydration reaction,Williamson alcohol synthesis reaction,A,low-confidence: Alcohols Phenols and Ethers,82,41
Chemistry,Organic Chemistry - Some Basic Principles and Techniques,Organic Chemistry - Some Basic Principles and Techniques,,60,Which of the following biphenyls is optically active? 42,,,,,B,figure/parse,84,41
Chemistry,Unclassified,Unclassified,,60,For the following reactions: a. 𝐶𝐻3𝐶𝐻2𝐶𝐻2𝐵𝑟 + 𝐾𝑂𝐻 → 𝐶𝐻3𝐶𝐻 = 𝐶𝐻2 + 𝐾𝐵𝑟 + 𝐻2𝑂 b. 43 c. Which of the following statements is correct?,a and b are elimination reactions and c is addition reaction.,"a is elimination, b is substitution and c is addition reaction.","a is elimination, b and c are substitution reactions.","a is substitution, b and c are addition reactions.",B,unclassified,85,42
Chemistry,Chemical Bonding and Molecular Structure,Chemical Bonding and Molecular Structure,,60,The correct statement regarding the basicity of aryl amines is:,Aryl amines are generally less basic than alkyl amines because the nitrogen lone-pair electrons are delocalized by interaction with the aromatic ring π electron system.,Aryl amines are generally more basic than alkyl amines because the nitrogen lone-pair electrons are not delocalized by interaction with the aromatic ring π electron system.,Aryl amines are generally more basic than alkyl amines because of aryl group.,"Aryl amines are generally more basic than alkyl amines, because the nitrogen atom in aryl amines is sp- hybridized.",A,low-confidence: Chemical Bonding and Molecular Structure,88,40
Chemistry,Biomolecules,Biomolecules,,60,Which one given below is a non-reducing sugar?,Maltose,Lactose,Glucose,Sucrose,D,low-confidence: Biomolecules,89,45
Chemistry,Structure of Atom,Structure of Atom,,60,"The pair of electron in the given carbanion, CH3C ≡ C⊖ is present in which of the following orbitals? 46",2p,sp3,sp2,sp,D,low-confidence: Structure of Atom,90,45
Biology,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,,60,The coconut water from tender coconut represents:,Endocarp,Fleshy mesocarp,Free nuclear proembryo,Free nuclear endosperm,D,low-confidence: Sexual Reproduction in Flowering Plants,93,47
Biology,Biological Classification,Biological Classification,,60,Which of the following statements is wrong for viroids?,They lack a protein coat,They are smaller than viruses,They cause infections,Their RNA is of high molecular weight,D,low-confidence: Biological Classification,94,31
Biology,Human Health and Disease,Human Health and Disease,,60,Which of the following most appropriately describes hemophilia?,Recessive gene disorder,X – linked recessive gene disorder,Chromosomal disorder,Dominant gene disorder,B,low-confidence: Human Health and Disease,96,48
Biology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,,60,Emerson’s enhancement effect and Red drop have been instrumental in the discovery of:,Photophosphorylation and non – cyclic electron transport,Two photosystems operating simultaneously,Photophosphorylation and cyclic electron transport,Oxidative phosphorylation,B,low-confidence: Photosynthesis in Higher Plants,97,48
Biology,Mineral Nutrition,Mineral Nutrition,,60,"In which of the following, all three are macronutrients?","Boron, zinc, manganese","Iron, copper, molybdenum","Molybdenum, magnesium, manganese","Nitrogen, nickel, phosphorus 49",D,low-confidence: Mineral Nutrition,98,48
Biology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,,60,Name the chronic respiratory disorder caused mainly by cigarette smoking:,Emphysema,Asthma,Respiratory acidosis,Respiratory alkalosis,A,low-confidence: Breathing and Exchange of Gases,99,49
Biology,Cell: The Unit of Life,Cell: The Unit of Life,,60,In a chloroplast the highest number of protons are found in:,Stroma,Lumen of thylakoids,Inter membrane space,Antennae complex,B,low-confidence: Cell: The Unit of Life,103,50
Biology,Unclassified,Unclassified,,60,Which is the National Aquatic Animal of India?,Gangetic shark,River dolphin,Blue whale,Sea – horse,B,unclassified,106,51
Biology,Molecular Basis of Inheritance,Molecular Basis of Inheritance,,60,Which of the following is required as inducer(s) for the expression of Lac operon?,Glucose,Galactose,Lactose,Lactose and galactose,C,low-confidence: Molecular Basis of Inheritance,107,51
Biology,Cell: The Unit of Life,Cell: The Unit of Life,,60,A complex of ribosomes attached to single strand of RNA is known as:,Polysome,Polymer,Polypeptide,Okazaki fragment,A,low-confidence: Cell: The Unit of Life,110,52
Biology,Human Health and Disease,Human Health and Disease,,60,Asthma may be attributed to:,Bacterial infection of the lungs,Allergic reaction of the mast cells in the lungs 53,Inflammation of the trachea,Accumulation of fluid in the lung,B,low-confidence: Human Health and Disease,112,52
Biology,Morphology of Flowering Plants,Morphology of Flowering Plants,,60,The standard petal of papilionaceous corolla is also called:,Carina,Pappus,Vexillum,Corona,C,low-confidence: Morphology of Flowering Plants,114,53
Biology,Human Reproduction,Human Reproduction,,60,Select the incorrect statement:,FSH stimulates the sertoli cells which help in spermiogenesis,LH triggers ovulation in ovary,LH and FSH decrease gradually during the follicular phase,LH triggers secretion of androgens from the Leydig cells,C,low-confidence: Human Reproduction,117,54
Biology,Biodiversity and Conservation,Biodiversity and Conservation,,60,Which of the following is the most important cause of animals and plants being driven to extinction?,Over – exploitation,Alien species invasion,Habitat loss and fragmentation,Co – extinctions,C,low-confidence: Biodiversity and Conservation,120,55
Biology,Biotechnology - Principles and Processes,Biotechnology - Principles and Processes,,60,Which of the following is not a feature of the plasmids?,Independent replication,Circular structure,Transferable,Single – stranded,D,low-confidence: Biotechnology - Principles and Processes,123,56
Biology,Unclassified,Unclassified,,60,Which of the following features is not present in Periplaneta americana?,Schizocoelom as body cavity,Indeterminate and radial cleavage during embryonic development,Exoskeleton composed of N – acetylglucosamine,Metamerically segmented body,B,unclassified,124,48
Biology,Unclassified,Unclassified,,60,Joint Forest Management Concept was introduced in India during:,1960s,1970s,1980s,1990s,C,unclassified,127,58
Biology,Human Health and Disease,Human Health and Disease,,60,Pick out the correct statements: (i) Hemophilia is a sex – linked recessive disease (ii) Down’s syndrome is due to aneuploidy (iii) Phenylketonuria is an autosomal recessive gene disorder (iv) Sickle cell anaemia is an autosomal recessive gene disorder,(i) and (iv) are correct,(ii) and (iv) are correct,"(i), (iii) and (iv) are correct","(i), (ii) and (iii) are correct",D,low-confidence: Human Health and Disease,128,58
Biology,Biological Classification,Biological Classification,,60,Which one of the following statements is wrong?,Cyanobacteria are also called blue – green algae,Golden algae are also called desmids 59,Eubacteria are also called false bacteria,Phycomycetes are also called algal fungi,C,low-confidence: Biological Classification,129,33
Biology,Human Reproduction,Human Reproduction,,60,Proximal end of the filament of stamen is attached to the:,Anther,Connective,Placenta,Thalamus or petal,D,low-confidence: Human Reproduction,130,59
Biology,Locomotion and Movement,Locomotion and Movement,,60,Identify the correct statement on ‘inhibin’:,"Inhibits the secretion of LH, FSH and Prolactin",Is produced by granulose cells in ovary and inhibits the secretion of FSH,Is produced by granulose cells in ovary and inhibits the secretion of LH,Is produced by nurse cells in testes and inhibits the secretion of LH,B,low-confidence: Locomotion and Movement,133,60
Biology,Unclassified,Unclassified,,60,Which part of the tobacco plant is infected by Meloidogyne incognita?,Flower,Leaf,Stem,Root,D,unclassified,134,60
Biology,Unclassified,Unclassified,,60,Lack of relaxation between successive stimuli in sustained muscle contraction is known as:,Spasm,Fatigue,Tetanus,Tonus,C,unclassified,137,61
Biology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,,60,Water soluble pigments found in plant cell vacuoles are:,Xanthophylls 62,Chlorophylls,Carotenoids,Anthocyanins,D,low-confidence: Photosynthesis in Higher Plants,139,61
Biology,Plant Kingdom,Plant Kingdom,,60,Select the correct statement:,Gymnosperms are both homosporous and heterosporous,"Salvinia, ginkgo and pinus all are gymnosperms",Sequoia is one of the tallest trees,The leaves of gymnosperms are not well adapted to extremes of climate,C,low-confidence: Plant Kingdom,140,62
Biology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,,60,"A plant in your garden avoids photorespiratory losses, has improved water use efficiency, shows high rates of photosynthesis at high temperatures and has improved efficiency of nitrogen utilization. In which of the following physiological groups would you assign this plant?",𝐶3,𝐶4,CAM,Nitrogen fixer,B,low-confidence: Photosynthesis in Higher Plants,143,63
Biology,Unclassified,Unclassified,,60,Which of the following structures is homologus to the wing of a bird?,Dorsal fin of a shark,Wing of a moth,Hind limb of rabbit,Flipper of whale,D,figure/parse,144,63
Biology,Animal Kingdom,Animal Kingdom,,60,Which of the following characteristic features always holds true for the corresponding group of animals?,64 Cartilaginous endoskeleton Chondrichthyes,Viviparous Mammalia,Possess a mouth with an upper and a lower jaw Chordata,3 – chambered heart with one incompletely divided ventricle Reptilia,A,low-confidence: Animal Kingdom,145,63
Biology,Unclassified,Unclassified,,60,The amino acid Tryptophan is the precursor for the synthesis of:,Melatonin and Serotonin,Thyroxine and Triiodothyronine,Estrogen and Progesterone,Cortisol and Cortisone,A,unclassified,147,64
Biology,Unclassified,Unclassified,,60,Following are the two statements regarding the origin of life: (i) The earliest organisms that appeared on the earth were non-green and presumably anaerobes. (ii) The first autotrophic organisms were the chemoautotrophs that never released oxygen. Of the above statements which one of the following options is correct?,(i) is correct but (ii) is false,(ii) is correct but (i) is false,Both (i) and (ii) are correct,Both (i) and (ii) are false,C,unclassified,148,65
Biology,Unclassified,Unclassified,,60,Reduction in pH of blood will:,Reduce the rate of heart beat,Reduce the blood supply to the brain,Decrease the affinity of hemoglobin with oxygen,Release bicarbonate ions by the liver,C,unclassified,149,65
Biology,Biomolecules,Biomolecules,,60,Which one of the following statements is wrong?,Sucrose is a disaccharide,Cellulose is a polysaccharide,Uracil is a pyrimidine,Glycine is a sulphur containing amino acid,D,low-confidence: Biomolecules,153,33
Biology,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,,60,Which one of the following statements is not true?,Tapetum helps in the dehiscence of anther,Exine of pollen grains is made up of sporopollenin,Pollen grains of many species cause severe allegies,Stored pollen in liquid nitrogen can be used in the crop breeding programmes,A,low-confidence: Sexual Reproduction in Flowering Plants,156,33
Biology,Biological Classification,Biological Classification,,60,Which of the following would appear as the pioneer organisms on bare rocks?,Lichens,Liverworts,Mosses,Green algae,A,low-confidence: Biological Classification,157,67
Biology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,,60,Which one of the following characteristics is not shared by birds and mammals? 68,Ossified endoskeleton,Breathing using lungs,Viviparity,Warm blooded nature,C,low-confidence: Breathing and Exchange of Gases,159,30
Biology,Morphology of Flowering Plants,Morphology of Flowering Plants,,60,Cotyledon of maize grain is called:,Plumule,Coleorhiza,Coleoptile,Scutellum,D,low-confidence: Morphology of Flowering Plants,162,68
Biology,Human Health and Disease,Human Health and Disease,,60,Depletion of which gas in the atmosphere can lead to an increased incidence of skin cancers:,Nitrous oxide,Ozone,Ammonia,Methane,B,low-confidence: Human Health and Disease,164,69
Biology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,,60,Water vapour comes out from the plant leaf through the stomatal opening. Through the same stomatal opening carbon dioxide diffuses into the plant during photosynthesis. Reason out the above statements using one of following options:,Both processes cannot happen simultaneously,Both processes can happen together because the diffusion coefficient of water and 𝐶𝑂2 is different,The above processes happen only during night time,"One process occurs during day time, and the other at night 70",B,low-confidence: Photosynthesis in Higher Plants,166,69
Biology,Unclassified,Unclassified,,60,"In mammals, which blood vessel would normally carry largest amount of urea?",Renal vein,Dorsal aorta,Hepatic vein,Hepatic portal vein,C,unclassified,167,70
Biology,Reproduction in Organisms,Reproduction in Organisms,,60,Seed formation without fertilization in flowering plants involves the process of:,Sporulation,Budding,Somatic hybridization,Apomixis,D,low-confidence: Reproduction in Organisms,168,70
Biology,Unclassified,Unclassified,,60,Which of the following is wrongly matched in the given table?,Microbe Product Application Trichoderma polysporum Cyclosporin A Immunosuppressive drug,Microbe Product Application Monascus purpureus Statins Lowering of blood cholesterol,Microbe Product Application Streptococcus Streptokinase Removal of clot from blood vessel 71,Microbe Product Application Clostridium butylicum Lipase Removal of oil stains,D,unclassified,169,70
Biology,Cell Cycle and Cell Division,Cell Cycle and Cell Division,,60,"In a testcross involving 𝐹1 dihybrid flies, more parental – type offspring were produced than the recombinant – type offspring. This indicates:",The two genes are located on two different chromosomes,Chromosomes failed to separate during meiosis,The two genes are linked and present on the same chromosome,Both of the characters are controlled by more than one gene,C,low-confidence: Cell Cycle and Cell Division,170,71
Biology,Unclassified,Unclassified,,60,"It is much easier for a small animal to run uphill than for a large animal, because:",It is easier to carry a small body weight.,Smaller animals have a higher metabolic rate.,Small animals have a lower O2 requirement,The efficiency of muscles in large animals is less than in the small animals.,B,unclassified,171,71
Biology,Morphology of Flowering Plants,Morphology of Flowering Plants,,60,Stems modified into flat green organs performing the functions of leaves are known as:,Cladodes,Phyllodes,Phylloclades,Scales,C,low-confidence: Morphology of Flowering Plants,176,73
Biology,Microbes in Human Welfare,Microbes in Human Welfare,,60,"The primitive prokaryotes responsible for the production of biogas from the dung of ruminant animals, include the:",Halophiles,Thermoacidophiles,Methanogens,Eubacteria,C,low-confidence: Microbes in Human Welfare,177,73
Biology,Cell Cycle and Cell Division,Cell Cycle and Cell Division,,60,A cell at telophase stage is observed by a student in a plant brought from the field. He tells his teacher that this cell is not like other cells at telophase stage. There is no formation of cell plate and thus the cell is containing more number of chromosomes as compared to other dividing cells. This would result in:,Aneuploidy,Polyploidy,Somaclonal variation,Polyteny,B,low-confidence: Cell Cycle and Cell Division,179,74
